,1,bear,bird,boar,cat,deer,dog,fox,human,masked,monkey,mustelidae,rabbit,raccoondog,serow,squirrel
plot03,IMG_0004,000000000000000000000,000000000000000000000,111111122211111122111,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000
plot03,IMG_0014,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,111110000000000000000,000000000000000000000,000000000000000000000
plot03,IMG_0019,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000
plot03,IMG_0020,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000
plot03,IMG_0035,000000000110010000000,000000000000000000000,000000000000000000000,000000000000000000000,000000001000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000111110001100000000,000000000000000000000,000000000000000000000,000000000000000000000,001000000000000000000,000000000000000000000,000000000000000000000
plot20,IMG_0004,000000000000000000000,000000000000000000000,000000000000000011000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000100000,000000000000000000000
plot20,IMG_0027,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,110000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000
plot20,IMG_0064,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000
plot20,IMG_0077,000000000000000000000,122121211222121111210,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,000000000000000000000,100100001000101110000
plot20,IMG_0090,00000000000000000000,00000000000000000000,00000000000000000000,00000000000000000000,00000000000000000000,00000000000000000000,00000000000000000000,00000000000000000000,00000000000000000000,00000000000000000000,00000000000000000000,00000000000000000000,00000000000000000000,00000000000000000000,00000000000000000000
